episode,seed,ret,success,length,steps_to_goal,path_length,optimal_path,start,goal,path_efficiency
0,1000000,145.0,True,300,156,3.5240672122948347,3.095682468513899,"(1.0938206944420876, 1.1084305835405575)","(-1.1457343702490923, -0.9784915915009608)",0.8784402458936145
1,1000001,260.0,True,300,41,0.8945623975626192,0.815569415042095,"(0.8605997569441359, 1.1057251651621436)","(1.237816417321165, -0.09670526035437693)",0.9116965091135583
2,1000002,222.0,True,300,79,2.0800577698156797,2.059329650158614,"(0.8359135992463929, 1.1736887974995112)","(0.1766902921978361, -1.1585889373779077)",0.9900348346291832
3,1000003,0.0,False,300,,0.9789935211352297,3.87974562783416,"(-0.9598456426023949, -0.7915939768646133)","(-0.9598625799245601, 1.0096244610355893)",
4,1000004,261.0,True,300,40,1.207466571560755,1.2162277660168375,"(-0.7917247332805528, 0.8198842512640626)","(0.8346953727414063, 1.0258664000726552)",1.0072558484536411
5,1000005,208.0,True,300,93,1.0445706412091276,0.4814506779490629,"(-0.23241542450153935, -1.2014336018905007)","(-1.0454622785911933, -0.7743742410624596)",0.4609077251029826
6,1000006,210.0,True,300,91,3.204405582686337,2.86523232475967,"(-1.1865196335989603, 1.1706863397654685)","(1.0997990383079492, -0.7871924849505308)",0.8941540796960137
7,1000007,264.0,True,300,37,0.9435497508501003,0.8331138830084193,"(-0.030551318519921933, -1.0853470175863116)","(1.2350278120873528, -1.2228459924107467)",0.8829570271814678
8,1000008,278.0,True,300,23,0.5691628609229891,0.47500000000000014,"(0.22919028831684157, -0.978780669133515)","(1.1364836377412635, -1.0660573439834964)",0.8345590209974546
9,1000009,216.0,True,300,78,2.139911641225585,1.9742034597780158,"(1.217327525646871, -0.0688755632060411)","(-0.9682839665427542, -0.9377910309245894)",0.9225630730469488
10,1000010,273.0,True,300,28,0.4794455956402846,0.42905694150420953,"(0.8584736852588637, -0.9968432980483453)","(-0.0055025996658442655, -1.150090110875475)",0.8949022483587891
11,1000011,247.0,True,300,54,1.751375646536293,1.6351862539117181,"(-0.7592416353990135, 0.9570179489076839)","(1.0758239637207863, 0.10741224428127782)",0.9336582115582323
12,1000012,261.0,True,300,40,0.6157858724680283,0.4048759228251127,"(0.9489201760756624, -1.0553439819456882)","(1.1935661960768802, -0.2406163518161245)",0.6574946599576851
13,1000013,0.0,False,300,,2.5890093028417906,3.091625527009689,"(1.0554037161104208, 1.1622096894297287)","(-1.0781456492369095, -1.0860057868597162)",
14,1000014,271.0,True,300,30,0.4042928592950855,0.24999999999999997,"(1.224635635577469, 0.760193369771347)","(1.147925776889568, 0.0680756157044109)",0.6183636298595366
15,1000015,270.0,True,300,31,0.6521164754306411,0.5452847075210474,"(-0.9725083733849845, -0.9607257868674003)","(-0.009748253399239959, -0.7549766751993947)",0.8361768611365865
16,1000016,208.0,True,300,93,2.6354065870327474,2.238395196571477,"(-1.1727966717779492, -1.242221153220541)","(0.9364763689933231, 0.14355353307265117)",0.8493547855519809
17,1000017,277.0,True,300,24,0.6043981209159667,0.6000000000000002,"(0.13217183237761515, 0.7612787328431239)","(1.1514724220080352, 0.8291942492773791)",0.9927231393285917
18,1000018,201.0,True,300,100,2.6627829669409016,2.3354866969255,"(-0.7789836384702132, -0.7500078160277028)","(0.8359879712703817, 0.7877127318758786)",0.8770848867223261
19,1000019,231.0,True,300,70,1.9993059303005543,1.8767144629423402,"(-0.09347463811983076, 0.7687442939396321)","(0.8840994750280944, -0.996015294111607)",0.9386829871805638
20,1000020,232.0,True,300,69,1.9538857651100696,1.8960357139169721,"(0.957021565837876, 0.8403232385934718)","(-0.053626490787756, -1.1533162415829064)",0.9703923063333036
21,1000021,234.0,True,300,67,2.2380579681940396,2.107480037106538,"(-1.0920099191105077, -1.0479596860765703)","(1.109612802196493, 0.010429365241071908)",0.9416556975095381
22,1000022,207.0,True,300,94,2.2206314991063887,2.0687612102800825,"(1.1303234849854376, 1.0934008202364405)","(-0.10218309813274767, -0.8960256703351812)",0.9316094143096588
23,1000023,0.0,False,300,,1.8788931670289881,2.832797715253761,"(0.10571894219860428, 0.8177355912335362)","(-0.8960589739141526, -1.1370952266754706)",
24,1000024,236.0,True,300,65,1.6673261559066563,1.641227766016836,"(1.117756415850815, 1.1439159353762745)","(-0.9379632959449571, 0.9540394460031347)",0.9843471597939225
25,1000025,257.0,True,300,44,1.1394284775997485,1.0050917787211613,"(-0.16717286488974165, -0.9953637620071333)","(1.0500469609556422, -0.22735132223226806)",0.8821016838533184
26,1000026,228.0,True,300,73,1.6953587041149247,1.7040569415042075,"(1.0681490916332572, 0.8023239819013355)","(-1.0597684340895965, 0.922936061695784)",1.005130617708318
27,1000027,289.0,True,300,12,0.1902735963387091,0.17905694150420948,"(0.9925404832229593, -0.24398983740277141)","(1.1517841687991628, -0.8503876403944852)",0.9410498616185681
28,1000028,212.0,True,300,89,2.0455359913537334,1.8985157486116178,"(0.8942404732929252, 0.13363081788938336)","(-1.1408042861046577, 1.0446560197333312)",0.9281262987483208
29,1000029,194.0,True,300,72,1.7704645518905027,1.428398590529465,"(1.0497726414055228, -1.1449807279698316)","(-0.7876500410048815, -0.8911451121218853)",0.8067931035412261
