episode,seed,ret,success,length,steps_to_goal,path_length,optimal_path,start,goal,path_efficiency
0,1000000,0.0,False,300,,2.6026912804103457,3.095682468513899,"(1.0938206944420876, 1.1084305835405575)","(-1.1457343702490923, -0.9784915915009608)",
1,1000001,254.0,True,300,47,1.0387836269584783,0.815569415042095,"(0.8605997569441359, 1.1057251651621436)","(1.237816417321165, -0.09670526035437693)",0.7851196282618098
2,1000002,229.0,True,300,72,2.1817973549208265,2.059329650158614,"(0.8359135992463929, 1.1736887974995112)","(0.1766902921978361, -1.1585889373779077)",0.9438684328377249
3,1000003,0.0,False,300,,0.39574686607865983,3.87974562783416,"(-0.9598456426023949, -0.7915939768646133)","(-0.9598625799245601, 1.0096244610355893)",
4,1000004,259.0,True,300,42,1.2469656159353333,1.2162277660168375,"(-0.7917247332805528, 0.8198842512640626)","(0.8346953727414063, 1.0258664000726552)",0.9753498817243331
5,1000005,270.0,True,300,23,0.5164521301061612,0.4814506779490629,"(-0.23241542450153935, -1.2014336018905007)","(-1.0454622785911933, -0.7743742410624596)",0.9322271124142648
6,1000006,183.0,True,300,118,3.4031469777409975,2.86523232475967,"(-1.1865196335989603, 1.1706863397654685)","(1.0997990383079492, -0.7871924849505308)",0.841936108989805
7,1000007,265.0,True,300,36,0.8963132219984558,0.8331138830084193,"(-0.030551318519921933, -1.0853470175863116)","(1.2350278120873528, -1.2228459924107467)",0.9294896723166431
8,1000008,278.0,True,300,23,0.5232990311280356,0.47500000000000014,"(0.22919028831684157, -0.978780669133515)","(1.1364836377412635, -1.0660573439834964)",0.9077028080408999
9,1000009,211.0,True,300,90,2.120230953179843,1.9742034597780158,"(1.217327525646871, -0.0688755632060411)","(-0.9682839665427542, -0.9377910309245894)",0.9311266099653811
10,1000010,273.0,True,300,28,0.4794455956402846,0.42905694150420953,"(0.8584736852588637, -0.9968432980483453)","(-0.0055025996658442655, -1.150090110875475)",0.8949022483587891
11,1000011,245.0,True,300,56,1.7093152360028725,1.6351862539117181,"(-0.7592416353990135, 0.9570179489076839)","(1.0758239637207863, 0.10741224428127782)",0.9566323516401221
12,1000012,276.0,True,300,25,0.4275161641612708,0.4048759228251127,"(0.9489201760756624, -1.0553439819456882)","(1.1935661960768802, -0.2406163518161245)",0.9470423735191973
13,1000013,155.0,True,300,146,3.2915985165265953,3.091625527009689,"(1.0554037161104208, 1.1622096894297287)","(-1.0781456492369095, -1.0860057868597162)",0.9392474542345083
